,restaurant_url
0,https://www.yelp.com/biz/j%C5%AB-ni-san-francisco-5
1,https://www.yelp.com/biz/the-fine-mousse-san-francisco
2,https://www.yelp.com/biz/starboard-sf-san-francisco
3,https://www.yelp.com/biz/brasserie-saint-james-san-francisco-2
4,https://www.yelp.com/biz/matador-san-francisco-2
5,https://www.yelp.com/biz/gold-dust-lounge-san-francisco-3
6,https://www.yelp.com/biz/hogwash-san-francisco
7,https://www.yelp.com/biz/the-house-san-francisco
8,https://www.yelp.com/biz/the-spice-jar-san-francisco
9,https://www.yelp.com/biz/marlowe-san-francisco-2
10,https://www.yelp.com/biz/the-codmother-fish-and-chips-san-francisco
11,https://www.yelp.com/biz/chez-maman-san-francisco-9
12,https://www.yelp.com/biz/the-chairman-san-francisco-2
13,https://www.yelp.com/biz/so-san-francisco-4
14,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2
15,https://www.yelp.com/biz/rove-kitchen-san-francisco
16,https://www.yelp.com/biz/state-bird-provisions-san-francisco
17,https://www.yelp.com/biz/gary-danko-san-francisco
18,https://www.yelp.com/biz/causwells-san-francisco-5
19,https://www.yelp.com/biz/la-fusi%C3%B3n-san-francisco-2
20,https://www.yelp.com/biz/lol%C3%B3-san-francisco-4
21,https://www.yelp.com/biz/nopa-san-francisco
22,https://www.yelp.com/biz/ikes-place-san-francisco
23,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-4
24,https://www.yelp.com/biz/hopwater-distribution-san-francisco
25,https://www.yelp.com/biz/lord-george-san-francisco
26,https://www.yelp.com/biz/brew-bros-cafe-san-francisco-2
27,https://www.yelp.com/biz/birba-san-francisco
28,https://www.yelp.com/biz/mensho-tokyo-san-francisco-2
29,https://www.yelp.com/biz/hrd-san-francisco-2
30,https://www.yelp.com/biz/stones-throw-san-francisco-2?search_key=87727
31,https://www.yelp.com/biz/kitchen-story-san-francisco?search_key=87727
32,https://www.yelp.com/biz/ijji-sushi-san-francisco?search_key=87727
33,https://www.yelp.com/biz/garaje-san-francisco?search_key=87727
34,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-6?search_key=87727
35,https://www.yelp.com/biz/red-hill-station-san-francisco?search_key=87727
36,https://www.yelp.com/biz/firefly-restaurant-san-francisco-4?search_key=87727
37,https://www.yelp.com/biz/old-skool-cafe-san-francisco?search_key=87727
38,https://www.yelp.com/biz/fat-angel-san-francisco?search_key=87727
39,https://www.yelp.com/biz/frances-san-francisco?search_key=87727
40,https://www.yelp.com/biz/20-spot-san-francisco
41,https://www.yelp.com/biz/bacon-bacon-san-francisco-5
42,https://www.yelp.com/biz/the-flying-falafel-san-francisco-3
43,https://www.yelp.com/biz/zazie-san-francisco
44,https://www.yelp.com/biz/street-taco-san-francisco
45,https://www.yelp.com/biz/paprika-san-francisco
46,https://www.yelp.com/biz/pianofight-san-francisco
47,https://www.yelp.com/biz/rustys-southern-san-francisco
48,https://www.yelp.com/biz/bite-san-francisco
49,https://www.yelp.com/biz/beretta-san-francisco
